PRODUCT_ID,PRODUCT_NAME,MANUFACTURER,PRODUCT_TYPE,PROMOTION_TIER,TOTAL_REVENUE,TOTAL_UNITS,AVG_DISCOUNT_PCT
59446,green wheat orange burlywood yellow,Manufacturer#5,MEDIUM BRUSHED TIN,No Promotion,106813.44,76.00,0.00
184618,moccasin brown bisque ghost chiffon,Manufacturer#2,ECONOMY PLATED COPPER,No Promotion,18728.71,11.00,0.00
104826,lavender yellow azure orchid navy,Manufacturer#2,MEDIUM BURNISHED BRASS,No Promotion,71401.98,39.00,0.00
60889,rose blanched lemon slate misty,Manufacturer#5,ECONOMY PLATED COPPER,No Promotion,159089.68,86.00,0.00
81544,sandy red slate chocolate almond,Manufacturer#1,LARGE POLISHED STEEL,No Promotion,123568.74,81.00,0.00
66210,magenta red rosy plum turquoise,Manufacturer#1,ECONOMY ANODIZED BRASS,No Promotion,11762.10,10.00,0.00
27799,ghost cream smoke burnished tan,Manufacturer#5,ECONOMY POLISHED TIN,No Promotion,12087.53,7.00,0.00
185456,grey dodger honeydew pale peach,Manufacturer#2,SMALL BURNISHED STEEL,Medium Discount,79538.82,55.00,6.00
23823,honeydew peru purple white thistle,Manufacturer#1,ECONOMY BRUSHED STEEL,No Promotion,76860.08,44.00,0.00
71225,beige bisque peru cornflower blush,Manufacturer#1,PROMO BURNISHED STEEL,No Promotion,59811.00,50.00,0.00
121079,royal burlywood drab antique cyan,Manufacturer#5,SMALL POLISHED STEEL,No Promotion,57203.64,52.00,0.00
28594,peach deep navy orange sienna,Manufacturer#2,STANDARD POLISHED NICKEL,No Promotion,41109.93,27.00,0.00
181995,sandy rose tomato slate antique,Manufacturer#4,SMALL POLISHED STEEL,No Promotion,58155.72,28.00,0.00
164501,lavender white violet grey bisque,Manufacturer#1,LARGE ANODIZED STEEL,No Promotion,46965.00,30.00,0.00
144530,tomato coral hot cornflower dim,Manufacturer#3,LARGE ANODIZED BRASS,No Promotion,22043.42,14.00,0.00
109884,thistle lace rose saddle chartreuse,Manufacturer#5,SMALL BURNISHED COPPER,No Promotion,92800.12,49.00,0.00
168364,brown magenta sandy bisque maroon,Manufacturer#2,LARGE PLATED BRASS,No Promotion,67320.92,47.00,0.00
58593,tan smoke pale olive puff,Manufacturer#3,ECONOMY ANODIZED STEEL,No Promotion,62063.60,40.00,0.00
127193,burnished metallic red yellow smoke,Manufacturer#4,ECONOMY POLISHED COPPER,No Promotion,17082.66,14.00,0.00
112998,mint hot blush chartreuse lawn,Manufacturer#4,SMALL BRUSHED NICKEL,No Promotion,70384.65,35.00,0.00
180234,seashell cream grey chiffon black,Manufacturer#2,SMALL BURNISHED NICKEL,No Promotion,43369.59,33.00,0.00
10212,burnished snow pink ghost tan,Manufacturer#3,LARGE POLISHED COPPER,No Promotion,19077.57,17.00,0.00
136619,salmon firebrick orange gainsboro sienna,Manufacturer#4,STANDARD ANODIZED NICKEL,No Promotion,64568.79,39.00,0.00
104454,puff linen drab spring blanched,Manufacturer#5,STANDARD POLISHED COPPER,No Promotion,21876.75,15.00,0.00
4598,dim ivory goldenrod red metallic,Manufacturer#2,LARGE BRUSHED COPPER,No Promotion,27046.62,18.00,0.00
189219,linen grey aquamarine royal blush,Manufacturer#4,LARGE BRUSHED COPPER,No Promotion,45787.35,35.00,0.00
58098,burlywood antique peach dim purple,Manufacturer#2,MEDIUM ANODIZED NICKEL,No Promotion,11616.99,11.00,0.00
14730,lime burlywood wheat peru white,Manufacturer#1,ECONOMY POLISHED COPPER,No Promotion,55920.82,34.00,0.00
88906,lemon almond peach floral blanched,Manufacturer#2,PROMO BRUSHED NICKEL,No Promotion,39792.90,21.00,0.00
152273,medium lemon sky midnight ivory,Manufacturer#3,ECONOMY PLATED TIN,No Promotion,13252.70,10.00,0.00
84635,forest steel dodger orchid peach,Manufacturer#4,LARGE BURNISHED NICKEL,No Promotion,6478.52,4.00,0.00
75402,frosted rosy seashell green medium,Manufacturer#3,SMALL PLATED STEEL,No Promotion,44076.80,32.00,0.00
21389,wheat navajo bisque ghost lime,Manufacturer#4,MEDIUM BURNISHED COPPER,No Promotion,3931.14,3.00,0.00
35267,navy forest chocolate indian ivory,Manufacturer#2,ECONOMY BURNISHED COPPER,No Promotion,32461.02,27.00,0.00
93539,moccasin plum purple olive lace,Manufacturer#1,SMALL BRUSHED COPPER,No Promotion,4597.59,3.00,0.00
57727,smoke floral thistle sienna linen,Manufacturer#2,LARGE POLISHED STEEL,No Promotion,43802.72,26.00,0.00
143199,tan deep gainsboro mint midnight,Manufacturer#1,STANDARD BRUSHED NICKEL,No Promotion,18632.85,15.00,0.00
155628,powder light slate black ghost,Manufacturer#4,MEDIUM BURNISHED STEEL,No Promotion,102700.82,61.00,0.00
140713,grey thistle goldenrod pale azure,Manufacturer#2,ECONOMY ANODIZED BRASS,No Promotion,17537.10,10.00,0.00
33016,smoke moccasin cornflower khaki maroon,Manufacturer#2,MEDIUM BRUSHED NICKEL,No Promotion,29419.31,31.00,0.00
153667,blanched cyan turquoise papaya mint,Manufacturer#1,STANDARD POLISHED STEEL,No Promotion,110122.24,64.00,0.00
554,blue medium royal blush ghost,Manufacturer#5,STANDARD BRUSHED STEEL,No Promotion,40727.40,28.00,0.00
171603,lime forest chocolate royal lace,Manufacturer#1,STANDARD PLATED TIN,No Promotion,82055.40,49.00,0.00
99157,burlywood bisque lace steel maroon,Manufacturer#3,LARGE BRUSHED NICKEL,No Promotion,8093.05,7.00,0.00
47361,tomato magenta navy spring mint,Manufacturer#2,ECONOMY BRUSHED STEEL,No Promotion,15700.32,12.00,0.00
150095,steel lavender tan bisque papaya,Manufacturer#1,SMALL ANODIZED STEEL,No Promotion,56109.41,49.00,0.00
167932,blanched steel orchid lime violet,Manufacturer#5,PROMO BURNISHED COPPER,No Promotion,109996.15,55.00,0.00
161648,chartreuse metallic goldenrod pink violet,Manufacturer#3,MEDIUM ANODIZED STEEL,No Promotion,1709.64,1.00,0.00
130293,seashell turquoise powder rosy red,Manufacturer#3,MEDIUM BURNISHED BRASS,No Promotion,100570.04,76.00,0.00
180848,saddle chiffon violet wheat puff,Manufacturer#2,STANDARD BRUSHED COPPER,No Promotion,1928.84,1.00,0.00
45244,blush wheat metallic chartreuse cornflower,Manufacturer#5,MEDIUM POLISHED NICKEL,No Promotion,10703.16,9.00,0.00
112388,black deep rose blanched white,Manufacturer#4,STANDARD BURNISHED TIN,No Promotion,35009.50,25.00,0.00
25339,linen violet rosy misty magenta,Manufacturer#3,PROMO PLATED STEEL,No Promotion,1264.33,1.00,0.00
111810,white saddle black salmon wheat,Manufacturer#5,SMALL POLISHED STEEL,No Promotion,78337.83,43.00,0.00
57605,navy olive salmon puff pale,Manufacturer#5,LARGE PLATED TIN,No Promotion,15626.00,10.00,0.00
113140,navajo dark drab deep tan,Manufacturer#2,MEDIUM BRUSHED TIN,No Promotion,26522.22,23.00,0.00
14188,salmon plum maroon light thistle,Manufacturer#1,PROMO BURNISHED STEEL,No Promotion,22043.60,20.00,0.00
132828,lace navajo papaya linen puff,Manufacturer#5,MEDIUM POLISHED STEEL,No Promotion,18608.20,10.00,0.00
60316,hot powder dodger beige lime,Manufacturer#5,PROMO PLATED BRASS,No Promotion,38289.30,30.00,0.00
161033,beige brown frosted misty turquoise,Manufacturer#4,ECONOMY BRUSHED NICKEL,No Promotion,30632.84,28.00,0.00
28498,snow khaki lace salmon cyan,Manufacturer#4,SMALL BURNISHED NICKEL,No Promotion,4279.47,3.00,0.00
192069,peach navy olive lawn khaki,Manufacturer#2,PROMO POLISHED STEEL,No Promotion,49925.58,43.00,0.00
177732,khaki seashell indian navajo floral,Manufacturer#1,PROMO ANODIZED NICKEL,No Promotion,5429.19,3.00,0.00
51953,cream blush peach papaya royal,Manufacturer#1,LARGE PLATED BRASS,No Promotion,41908.90,22.00,0.00
37944,almond thistle blue azure dodger,Manufacturer#2,LARGE ANODIZED NICKEL,No Promotion,65867.90,35.00,0.00
156294,plum lawn deep khaki snow,Manufacturer#2,ECONOMY BURNISHED BRASS,No Promotion,47260.15,35.00,0.00
62776,floral violet steel aquamarine red,Manufacturer#1,PROMO BRUSHED COPPER,No Promotion,15648.93,9.00,0.00
120341,snow papaya peru seashell orange,Manufacturer#2,LARGE PLATED COPPER,No Promotion,35394.84,26.00,0.00
85699,puff cornsilk snow turquoise aquamarine,Manufacturer#2,PROMO PLATED NICKEL,Medium Discount,218403.20,137.00,5.80
38487,magenta red dark spring salmon,Manufacturer#4,ECONOMY PLATED COPPER,No Promotion,39913.44,28.00,0.00
144680,dodger cyan papaya violet drab,Manufacturer#2,PROMO ANODIZED NICKEL,No Promotion,31044.24,18.00,0.00
125934,cream coral maroon olive salmon,Manufacturer#3,LARGE POLISHED NICKEL,No Promotion,45078.39,23.00,0.00
44035,blush seashell peru black forest,Manufacturer#3,SMALL BRUSHED STEEL,No Promotion,47972.47,49.00,0.00
120876,coral rosy orchid red moccasin,Manufacturer#3,STANDARD POLISHED BRASS,No Promotion,153646.47,81.00,0.00
38830,thistle purple lace turquoise blanched,Manufacturer#4,MEDIUM BURNISHED STEEL,No Promotion,58371.39,33.00,0.00
171976,plum pale linen lemon salmon,Manufacturer#4,SMALL POLISHED STEEL,No Promotion,102398.50,50.00,0.00
26583,turquoise saddle goldenrod red rose,Manufacturer#2,PROMO PLATED BRASS,No Promotion,64911.94,43.00,0.00
43540,lawn dodger pink maroon sky,Manufacturer#3,PROMO PLATED NICKEL,No Promotion,7417.70,5.00,0.00
183252,rosy bisque violet almond aquamarine,Manufacturer#3,STANDARD PLATED BRASS,No Promotion,40057.50,30.00,0.00
59553,peru azure cornflower rosy slate,Manufacturer#1,PROMO BURNISHED BRASS,Low Discount,75582.12,51.00,2.33
183041,almond khaki antique blue saddle,Manufacturer#5,ECONOMY BURNISHED BRASS,No Promotion,49457.76,44.00,0.00
190161,papaya linen floral azure chartreuse,Manufacturer#4,SMALL BRUSHED BRASS,No Promotion,55051.04,44.00,0.00
66901,azure black pale yellow rose,Manufacturer#4,LARGE BRUSHED STEEL,No Promotion,78451.80,42.00,0.00
13031,moccasin wheat yellow cornflower blanched,Manufacturer#3,STANDARD BURNISHED COPPER,No Promotion,64194.04,68.00,0.00
111804,firebrick royal peru purple metallic,Manufacturer#4,STANDARD POLISHED STEEL,No Promotion,43579.20,24.00,0.00
182930,cornsilk beige aquamarine cornflower navy,Manufacturer#2,PROMO BRUSHED COPPER,No Promotion,50323.25,25.00,0.00
197177,sienna misty puff cream tan,Manufacturer#4,ECONOMY POLISHED TIN,No Promotion,29305.91,23.00,0.00
97029,medium burlywood tan plum floral,Manufacturer#2,ECONOMY BRUSHED TIN,No Promotion,50274.98,49.00,0.00
125503,red plum floral magenta green,Manufacturer#3,PROMO BURNISHED NICKEL,No Promotion,6114.00,4.00,0.00
90020,moccasin orchid lawn deep slate,Manufacturer#3,PROMO PLATED STEEL,No Promotion,44440.88,44.00,0.00
164315,coral lawn olive bisque tan,Manufacturer#3,PROMO POLISHED TIN,No Promotion,59310.33,43.00,0.00
187354,azure peach olive powder orange,Manufacturer#1,PROMO BRUSHED BRASS,No Promotion,50447.25,35.00,0.00
128594,floral tomato light royal magenta,Manufacturer#5,LARGE BURNISHED NICKEL,No Promotion,61658.42,38.00,0.00
77023,lemon misty moccasin tan linen,Manufacturer#1,SMALL POLISHED BRASS,No Promotion,20000.40,20.00,0.00
158460,floral grey sky sandy hot,Manufacturer#1,SMALL POLISHED NICKEL,No Promotion,22776.90,15.00,0.00
49154,orchid mint orange brown yellow,Manufacturer#4,LARGE PLATED BRASS,No Promotion,2206.30,2.00,0.00
114877,papaya ghost red light cream,Manufacturer#2,PROMO ANODIZED TIN,No Promotion,15134.96,8.00,0.00
137953,sandy azure maroon aquamarine dodger,Manufacturer#1,ECONOMY BRUSHED NICKEL,No Promotion,59728.50,30.00,0.00
177534,orchid magenta lavender white sandy,Manufacturer#3,SMALL BURNISHED BRASS,No Promotion,11280.71,7.00,0.00
132632,indian maroon floral black pale,Manufacturer#4,MEDIUM ANODIZED STEEL,No Promotion,44945.01,27.00,0.00
126914,maroon saddle khaki puff mint,Manufacturer#5,LARGE PLATED NICKEL,No Promotion,93163.68,48.00,0.00
120136,puff medium slate mint deep,Manufacturer#3,MEDIUM POLISHED TIN,No Promotion,101739.44,88.00,0.00
169930,lace sienna violet deep forest,Manufacturer#1,SMALL BRUSHED COPPER,No Promotion,15999.44,8.00,0.00
51789,ivory purple metallic lime grey,Manufacturer#1,STANDARD BRUSHED NICKEL,No Promotion,109669.14,63.00,0.00
106530,cyan ghost white spring powder,Manufacturer#3,LARGE BRUSHED STEEL,No Promotion,32267.13,21.00,0.00
167136,olive steel pale light drab,Manufacturer#1,ECONOMY POLISHED NICKEL,No Promotion,111891.09,93.00,0.00
49126,olive ghost purple blue orange,Manufacturer#2,PROMO BURNISHED BRASS,No Promotion,103211.52,96.00,0.00
15036,purple khaki lime gainsboro beige,Manufacturer#3,MEDIUM BRUSHED TIN,No Promotion,5706.18,6.00,0.00
45144,khaki bisque mint floral tomato,Manufacturer#2,STANDARD POLISHED NICKEL,No Promotion,75150.66,69.00,0.00
49543,dim navajo hot honeydew maroon,Manufacturer#2,STANDARD BRUSHED COPPER,No Promotion,53731.44,36.00,0.00
47068,ivory tan bisque midnight lace,Manufacturer#4,LARGE POLISHED NICKEL,No Promotion,36542.16,36.00,0.00
129281,medium floral ivory smoke plum,Manufacturer#3,PROMO PLATED TIN,No Promotion,57652.32,44.00,0.00
61495,black ivory antique green smoke,Manufacturer#4,SMALL BURNISHED STEEL,No Promotion,52433.64,36.00,0.00
173194,violet khaki blanched rose drab,Manufacturer#5,MEDIUM BRUSHED STEEL,High Discount,35747.43,31.00,9.00
162559,forest cream metallic honeydew blanched,Manufacturer#3,PROMO PLATED STEEL,No Promotion,32431.00,20.00,0.00
149337,burlywood grey navy firebrick orange,Manufacturer#2,PROMO POLISHED NICKEL,Medium Discount,53332.12,41.00,6.00
38379,burnished lime burlywood lawn rose,Manufacturer#1,MEDIUM BURNISHED BRASS,No Promotion,17125.81,13.00,0.00
93746,peru violet olive dim powder,Manufacturer#1,MEDIUM ANODIZED TIN,No Promotion,78288.30,45.00,0.00
41375,yellow lavender sandy navajo lime,Manufacturer#5,STANDARD ANODIZED STEEL,No Promotion,22378.29,17.00,0.00
123629,chocolate chiffon orange burnished ivory,Manufacturer#3,STANDARD ANODIZED TIN,No Promotion,77673.14,47.00,0.00
185750,papaya chocolate cornflower snow metallic,Manufacturer#1,PROMO POLISHED STEEL,No Promotion,47729.50,26.00,0.00
96873,misty lavender moccasin puff aquamarine,Manufacturer#5,PROMO PLATED STEEL,No Promotion,16828.83,9.00,0.00
71079,cream powder gainsboro magenta forest,Manufacturer#4,STANDARD ANODIZED BRASS,No Promotion,72454.83,69.00,0.00
33653,moccasin rosy cyan plum white,Manufacturer#5,PROMO ANODIZED BRASS,No Promotion,71399.25,45.00,0.00
91766,wheat honeydew turquoise olive tomato,Manufacturer#5,SMALL BURNISHED STEEL,No Promotion,56248.32,32.00,0.00
13823,plum rosy violet drab slate,Manufacturer#5,SMALL PLATED COPPER,No Promotion,48630.96,28.00,0.00
148375,coral burlywood saddle dark navy,Manufacturer#5,ECONOMY BURNISHED TIN,No Promotion,34160.88,24.00,0.00
118920,firebrick plum green cream dark,Manufacturer#1,PROMO BURNISHED NICKEL,No Promotion,50411.92,26.00,0.00
103861,blanched beige tan peru chiffon,Manufacturer#2,MEDIUM ANODIZED STEEL,No Promotion,93243.00,50.00,0.00
47190,cyan peach dodger chiffon papaya,Manufacturer#3,PROMO BRUSHED STEEL,No Promotion,46624.79,41.00,0.00
179807,firebrick beige slate medium powder,Manufacturer#4,PROMO ANODIZED STEEL,No Promotion,90566.40,48.00,0.00
109538,lime azure white lawn dark,Manufacturer#4,PROMO POLISHED COPPER,No Promotion,20117.89,13.00,0.00
178922,grey navajo beige lace dim,Manufacturer#2,MEDIUM BURNISHED COPPER,No Promotion,90041.40,45.00,0.00
185487,mint bisque firebrick salmon frosted,Manufacturer#3,SMALL PLATED NICKEL,No Promotion,75479.04,48.00,0.00
86754,lime pale tan beige mint,Manufacturer#3,ECONOMY BURNISHED BRASS,No Promotion,81815.25,47.00,0.00
76707,moccasin gainsboro firebrick blue pale,Manufacturer#4,STANDARD BRUSHED STEEL,No Promotion,65664.30,39.00,0.00
90933,metallic mint orange aquamarine slate,Manufacturer#5,MEDIUM BRUSHED BRASS,High Discount,48483.04,28.00,10.00
44982,powder misty bisque puff dim,Manufacturer#5,ECONOMY POLISHED NICKEL,No Promotion,30831.68,16.00,0.00
167003,wheat frosted cyan misty lavender,Manufacturer#5,LARGE PLATED TIN,No Promotion,14980.00,14.00,0.00
37647,lace gainsboro burnished honeydew hot,Manufacturer#2,SMALL PLATED BRASS,No Promotion,110924.80,70.00,0.00
197338,mint burlywood plum grey antique,Manufacturer#1,MEDIUM PLATED STEEL,No Promotion,21529.95,15.00,0.00
14174,moccasin rose smoke blanched blue,Manufacturer#3,ECONOMY BRUSHED STEEL,No Promotion,52232.16,48.00,0.00
84020,lace lemon saddle magenta burnished,Manufacturer#5,STANDARD BURNISHED STEEL,No Promotion,25100.50,25.00,0.00
74101,cornflower peru lace red plum,Manufacturer#3,LARGE ANODIZED BRASS,No Promotion,2150.20,2.00,0.00
115196,honeydew bisque cream turquoise ivory,Manufacturer#1,MEDIUM ANODIZED COPPER,No Promotion,44814.03,37.00,0.00
103679,red lawn chocolate burlywood peach,Manufacturer#3,STANDARD BURNISHED TIN,No Promotion,43749.42,26.00,0.00
37050,forest steel khaki violet magenta,Manufacturer#5,MEDIUM ANODIZED NICKEL,No Promotion,18753.95,19.00,0.00
131782,chartreuse red lime almond bisque,Manufacturer#5,MEDIUM POLISHED BRASS,No Promotion,126964.60,70.00,0.00
130515,light navajo peach cyan azure,Manufacturer#1,LARGE BURNISHED STEEL,No Promotion,71093.46,46.00,0.00
11741,ghost saddle yellow sky misty,Manufacturer#1,ECONOMY POLISHED TIN,No Promotion,82637.00,50.00,0.00
12079,purple lemon wheat cornflower burlywood,Manufacturer#4,PROMO PLATED COPPER,No Promotion,18830.33,19.00,0.00
140016,medium coral smoke ivory cornflower,Manufacturer#2,STANDARD BRUSHED TIN,No Promotion,51744.49,49.00,0.00
52035,floral slate yellow cornsilk brown,Manufacturer#3,LARGE PLATED STEEL,No Promotion,48364.47,49.00,0.00
153672,olive gainsboro midnight forest firebrick,Manufacturer#4,SMALL ANODIZED TIN,No Promotion,41416.08,24.00,0.00
22172,peach spring goldenrod lace peru,Manufacturer#4,SMALL BURNISHED NICKEL,No Promotion,15318.38,14.00,0.00
80492,cornsilk blue burlywood orange sienna,Manufacturer#1,PROMO BURNISHED NICKEL,No Promotion,53009.64,36.00,0.00
124652,pale dodger goldenrod tan burlywood,Manufacturer#4,ECONOMY PLATED BRASS,No Promotion,129102.05,77.00,0.00
106519,olive smoke sandy blush sky,Manufacturer#5,MEDIUM ANODIZED TIN,No Promotion,24408.16,16.00,0.00
56996,purple navajo rosy green bisque,Manufacturer#4,STANDARD BURNISHED COPPER,No Promotion,58589.70,30.00,0.00
182718,almond honeydew ivory dim orange,Manufacturer#2,PROMO BRUSHED NICKEL,No Promotion,19807.81,11.00,0.00
86809,violet indian pale smoke lace,Manufacturer#5,ECONOMY BRUSHED NICKEL,No Promotion,25141.20,14.00,0.00
163391,magenta orange plum royal green,Manufacturer#1,LARGE ANODIZED STEEL,No Promotion,39268.53,27.00,0.00
106627,rose gainsboro moccasin grey burnished,Manufacturer#2,LARGE BRUSHED TIN,No Promotion,37573.26,23.00,0.00
153904,midnight peru snow orange antique,Manufacturer#1,LARGE POLISHED COPPER,No Promotion,92021.30,47.00,0.00
133798,honeydew cornsilk lemon indian burlywood,Manufacturer#3,SMALL PLATED NICKEL,No Promotion,76935.18,42.00,0.00
74605,antique coral chiffon maroon goldenrod,Manufacturer#3,PROMO BRUSHED NICKEL,No Promotion,23694.00,15.00,0.00
